"data_all_means","mean_people","mean_experiments","mean_coords"
31.7439421147124,"p1","e7","x"
-0.56667599786555,"p2","e7","y"
37.9959626157047,"p3","e7","z"
31.4150529709751,"p4","e7","x"
-1.66398494228552,"p5","e7","y"
39.4445582937125,"p6","e7","z"
35.0439504620816,"p7","e7","x"
-1.24851687925697,"p8","e7","y"
38.3761046683796,"p9","e7","z"
32.412908384484,"p10","e7","x"
-2.33601069801813,"p1","e8","y"
36.7296491805586,"p2","e8","z"
30.1114772795883,"p3","e8","x"
-3.40577968188806,"p4","e8","y"
40.5308728991347,"p5","e8","z"
29.9964398341191,"p6","e8","x"
-2.8936397556263,"p7","e8","y"
37.8174421816386,"p8","e8","z"
28.9140887514285,"p9","e8","x"
-2.66657259226235,"p10","e8","y"
38.0676030778586,"p1","e9","z"
32.4306358522149,"p2","e9","x"
-2.97144039394121,"p3","e9","y"
38.3084288355096,"p4","e9","z"
30.7788896328671,"p5","e9","x"
-1.70348967239759,"p6","e9","y"
38.6061027265675,"p7","e9","z"
27.7025194183118,"p8","e9","x"
-2.75461530185882,"p9","e9","y"
38.9599576867749,"p10","e9","z"
30.6142264988221,"p1","e10","x"
-2.70231616422856,"p2","e10","y"
36.2484171720534,"p3","e10","z"
28.0688503028327,"p4","e10","x"
-2.34102130720809,"p5","e10","y"
36.7984973686023,"p6","e10","z"
30.6810186256472,"p7","e10","x"
-2.49287042116461,"p8","e10","y"
33.28489909241,"p9","e10","z"
28.5567127717937,"p10","e10","x"
-1.81702778329003,"p1","e11","y"
33.9826207696138,"p2","e11","z"
28.318579458571,"p3","e11","x"
-1.53667152504073,"p4","e11","y"
35.9717316032451,"p5","e11","z"
29.8351593194172,"p6","e11","x"
-1.55042554192163,"p7","e11","y"
36.5061858432654,"p8","e11","z"
28.8720537999232,"p9","e11","x"
-1.45478888455585,"p10","e11","y"
34.9151600703816,"p1","e12","z"
28.7982691556696,"p2","e12","x"
-0.537395964568668,"p3","e12","y"
35.4260932599041,"p4","e12","z"
27.9622613919147,"p5","e12","x"
-0.197842556990343,"p6","e12","y"
34.5882752842847,"p7","e12","z"
30.5915858979606,"p8","e12","x"
-0.495044333664295,"p9","e12","y"
35.1165378350413,"p10","e12","z"
30.7704563744801,"p1","e13","x"
-4.5453833916242,"p2","e13","y"
40.4333319614201,"p3","e13","z"
28.9548551185092,"p4","e13","x"
-4.17712252053352,"p5","e13","y"
39.7138673529454,"p6","e13","z"
27.6230612040138,"p7","e13","x"
-3.49159475690429,"p8","e13","y"
40.3782879539263,"p9","e13","z"
30.9856746639404,"p10","e13","x"
-3.64782694000557,"p1","e14","y"
40.9290533604849,"p2","e14","z"
27.31684843571,"p3","e14","x"
-6.14202200580395,"p4","e14","y"
42.4816330841949,"p5","e14","z"
28.4185214439878,"p6","e14","x"
-4.38238775306943,"p7","e14","y"
40.0266532041298,"p8","e14","z"
27.3397838192725,"p9","e14","x"
-4.74000920503952,"p10","e14","y"
42.3880382309186,"p1","e15","z"
25.555666756494,"p2","e15","x"
-4.22587073010649,"p3","e15","y"
41.5894425584289,"p4","e15","z"
27.9340821358156,"p5","e15","x"
-5.66556514794437,"p6","e15","y"
41.5396816561008,"p7","e15","z"
28.9671748137414,"p8","e15","x"
-5.64961960989746,"p9","e15","y"
40.8021397291958,"p10","e15","z"
29.1163036441454,"p1","e16","x"
-1.42029842733546,"p2","e16","y"
36.8391149946555,"p3","e16","z"
29.1639861339802,"p4","e16","x"
-1.61797089616542,"p5","e16","y"
35.476633437701,"p6","e16","z"
30.9733589128043,"p7","e16","x"
-2.85405701937517,"p8","e16","y"
36.8310738920466,"p9","e16","z"
30.2106410974142,"p10","e16","x"
-1.57533666254483,"p1","e1","y"
35.5319301460051,"p2","e1","z"
31.192737658616,"p3","e1","x"
-2.97825600267749,"p4","e1","y"
36.63061257687,"p5","e1","z"
28.7739569583298,"p6","e1","x"
-2.25471691739823,"p7","e1","y"
36.6745358757321,"p8","e1","z"
31.5648373893236,"p9","e1","x"
-1.54085077442791,"p10","e1","y"
36.0501318229306,"p1","e2","z"
28.2748052456441,"p2","e2","x"
-1.56068417586628,"p3","e2","y"
37.0752411448604,"p4","e2","z"
32.0174207713345,"p5","e2","x"
-0.825104732300414,"p6","e2","y"
36.7550646608645,"p7","e2","z"
30.5937451585242,"p8","e2","x"
-2.08774126849105,"p9","e2","y"
37.1843148320166,"p10","e2","z"
29.1682633459445,"p1","e3","x"
-2.11415354465358,"p2","e3","y"
37.0227528749248,"p3","e3","z"
29.3361434166489,"p4","e3","x"
-2.37573752876083,"p5","e3","y"
35.3668265433145,"p6","e3","z"
29.3755233945967,"p7","e3","x"
-2.33982581771838,"p8","e3","y"
36.2027575773148,"p9","e3","z"
30.2417670505465,"p10","e3","x"
-3.07256331994997,"p1","e4","y"
36.5464453389314,"p2","e4","z"
28.8717598175146,"p3","e4","x"
-3.47078370658465,"p4","e4","y"
34.6711976863594,"p5","e4","z"
30.7451239472205,"p6","e4","x"
-3.29789704564848,"p7","e4","y"
35.7624405175604,"p8","e4","z"
32.7314786034883,"p9","e4","x"
-1.77005911452471,"p10","e4","y"
35.8272483364719,"p1","e5","z"
28.5224410984182,"p2","e5","x"
-3.08871548502592,"p3","e5","y"
35.992134809759,"p4","e5","z"
30.5197509248119,"p5","e5","x"
-5.63210612559906,"p6","e5","y"
34.9742567984921,"p7","e5","z"
29.109791810225,"p8","e5","x"
-3.09904033471151,"p9","e5","y"
37.1482030892365,"p10","e5","z"
31.194451119256,"p1","e6","x"
-1.59449720391901,"p2","e6","y"
37.7091170265955,"p3","e6","z"
32.0824217901847,"p4","e6","x"
-2.01724476806693,"p5","e6","y"
37.2635636051665,"p6","e6","z"
30.3462772365512,"p7","e6","x"
-2.86792018161894,"p8","e6","y"
37.1356073701398,"p9","e6","z"
30.2719735603314,"p10","e6","x"
-3.1708611218808,"p1","e7","y"
38.3070792791402,"p2","e7","z"
30.8976996120798,"p3","e7","x"
-2.21274116118981,"p4","e7","y"
36.755191830368,"p5","e7","z"
32.9611478040745,"p6","e7","x"
-3.10815155164029,"p7","e7","y"
36.2942867487099,"p8","e7","z"
29.5346239943714,"p9","e7","x"
-2.01170218066907,"p10","e7","y"
37.9084559918362,"p1","e8","z"
30.2825334930965,"p2","e8","x"
-3.62429291691707,"p3","e8","y"
36.9813398998689,"p4","e8","z"
32.4724874361413,"p5","e8","x"
-1.83783654202508,"p6","e8","y"
38.068897020548,"p7","e8","z"
31.5942983842288,"p8","e8","x"
-1.15091316498623,"p9","e8","y"
37.3343937332431,"p10","e8","z"
30.1430915388497,"p1","e9","x"
-2.79193219130213,"p2","e9","y"
40.6300166980339,"p3","e9","z"
27.4049584093986,"p4","e9","x"
-2.02396126856508,"p5","e9","y"
38.9147910457496,"p6","e9","z"
27.1943211459893,"p7","e9","x"
-1.59133047826489,"p8","e9","y"
37.1407098080519,"p9","e9","z"
28.8337450010051,"p10","e9","x"
-0.414405454038004,"p1","e10","y"
39.3413864929251,"p2","e10","z"
28.3630562024445,"p3","e10","x"
-1.02126618418669,"p4","e10","y"
37.4561668215167,"p5","e10","z"
27.2949658733321,"p6","e10","x"
-0.515257982744729,"p7","e10","y"
37.0673723098399,"p8","e10","z"
