"data_all_max","max_people","max_experiments","max_coords"
49.0334909726317,"p7","e4","z"
59.0132238643213,"p8","e4","x"
-0.0521579188284873,"p9","e4","y"
47.3589332964667,"p10","e4","z"
59.3613252980524,"p1","e5","x"
-0.278579798737621,"p2","e5","y"
51.2596687898769,"p3","e5","z"
58.97570536095,"p4","e5","x"
0.440001484642527,"p5","e5","y"
53.195801503275,"p6","e5","z"
61.1016548163904,"p7","e5","x"
0.594124077235952,"p8","e5","y"
49.8042771970368,"p9","e5","z"
60.3789556713679,"p10","e5","x"
0.745449416146338,"p1","e6","y"
55.3834173686829,"p2","e6","z"
58.6094833895003,"p3","e6","x"
-0.198011787718015,"p4","e6","y"
47.5329730711893,"p5","e6","z"
60.4634002492738,"p6","e6","x"
0.23438159755074,"p7","e6","y"
48.3848180710101,"p8","e6","z"
59.2344038001224,"p9","e6","x"
0.0264243624320382,"p10","e6","y"
48.8418103738863,"p1","e7","z"
59.6340328830187,"p2","e7","x"
-0.512298187481179,"p3","e7","y"
49.8128970522579,"p4","e7","z"
59.7310093020169,"p5","e7","x"
1.71808397152225,"p6","e7","y"
47.1961864704141,"p7","e7","z"
60.1242951146389,"p8","e7","x"
-0.47326085322858,"p9","e7","y"
48.1811280336006,"p10","e7","z"
60.7915004089386,"p1","e8","x"
0.402355119351732,"p2","e8","y"
49.5196674122468,"p3","e8","z"
59.5237417286502,"p4","e8","x"
0.182637186182119,"p5","e8","y"
51.3572366145022,"p6","e8","z"
60.717727719461,"p7","e8","x"
0.346409630516349,"p8","e8","y"
52.7997350692101,"p9","e8","z"
58.8242436392883,"p10","e8","x"
-0.198507763506309,"p1","e9","y"
50.4292179054489,"p2","e9","z"
59.5901792401429,"p3","e9","x"
-0.163156758452166,"p4","e9","y"
50.1249748563248,"p5","e9","z"
59.2334893871832,"p6","e9","x"
-0.340095271985275,"p7","e9","y"
51.7954276557924,"p8","e9","z"
59.7962670360118,"p9","e9","x"
0.597363224605367,"p10","e9","y"
51.8738770091056,"p1","e10","z"
59.1422366904408,"p2","e10","x"
-0.792219637451537,"p3","e10","y"
49.3141926869879,"p4","e10","z"
60.079788604379,"p5","e10","x"
-0.146354810829022,"p6","e10","y"
47.8696935825052,"p7","e10","z"
60.1810373308198,"p8","e10","x"
0.0739879392990288,"p9","e10","y"
50.2143872173597,"p10","e10","z"
59.1586037307208,"p1","e11","x"
-0.409802799855738,"p2","e11","y"
56.4095279318021,"p3","e11","z"
59.3395887775043,"p4","e11","x"
2.53957422023327,"p5","e11","y"
