"data_all_energy","energy_people","energy_experiments"
4171.54758326883,"p9","e8"
3680.83610643627,"p9","e8"
3907.78477399881,"p9","e8"
3746.60694393586,"p9","e8"
3721.32319401337,"p9","e8"
3957.52265450752,"p10","e8"
3740.44980018912,"p10","e8"
3498.17603103138,"p10","e8"
3743.18779117357,"p10","e8"
3882.59054298659,"p10","e8"
3746.36896925517,"p10","e8"
3832.19592781909,"p10","e8"
3927.62014653882,"p10","e8"
3578.47597770307,"p10","e8"
3826.3214601686,"p10","e8"
4105.55548975502,"p1","e9"
3933.26262587881,"p1","e9"
3858.03546885352,"p1","e9"
3849.01692687612,"p1","e9"
3965.93023105489,"p1","e9"
3842.33175107527,"p1","e9"
4139.10985051267,"p1","e9"
3722.49175244832,"p1","e9"
3919.76840624794,"p1","e9"
3829.11598992526,"p1","e9"
3887.8485560593,"p2","e9"
3610.86556587953,"p2","e9"
4037.2479684543,"p2","e9"
3892.01529783954,"p2","e9"
3807.29679826488,"p2","e9"
3933.44883660133,"p2","e9"
3776.75892338736,"p2","e9"
3891.45117419787,"p2","e9"
3883.90473250846,"p2","e9"
3815.900807955,"p2","e9"
3676.31772671054,"p3","e9"
3450.99537556663,"p3","e9"
4239.83551191977,"p3","e9"
3711.75034748412,"p3","e9"
4051.74205074811,"p3","e9"
4237.34689120985,"p3","e9"
3768.11550904813,"p3","e9"
3973.11660264682,"p3","e9"
3749.4647617876,"p3","e9"
3615.87345459593,"p3","e9"
4136.60643085605,"p4","e9"
3930.12232012425,"p4","e9"
3991.02893103136,"p4","e9"
3854.89528676096,"p4","e9"
3929.43949791623,"p4","e9"
3875.96909319063,"p4","e9"
3967.47742593615,"p4","e9"
4048.71262129861,"p4","e9"
3472.1691088653,"p4","e9"
3927.88877058737,"p4","e9"
4237.72123308546,"p5","e9"
3747.56029925492,"p5","e9"
3940.60886336558,"p5","e9"
3750.54838201913,"p5","e9"
3944.0187198552,"p5","e9"
3864.15666679838,"p5","e9"
3779.67701213088,"p5","e9"
3614.17927232098,"p5","e9"
3912.03733293313,"p5","e9"
3844.27111406258,"p5","e9"
3905.23266180694,"p6","e9"
3823.12439789701,"p6","e9"
3863.02680716767,"p6","e9"
4370.67830136367,"p6","e9"
3774.89173624098,"p6","e9"
4092.52543738359,"p6","e9"
3978.3464332317,"p6","e9"
3948.96053842133,"p6","e9"
3789.57487286909,"p6","e9"
3949.63202926894,"p6","e9"
4066.18279082795,"p7","e9"
4100.21118656073,"p7","e9"
4012.720855589,"p7","e9"
4033.15648817526,"p7","e9"
3644.84310014763,"p7","e9"
4009.1057770313,"p7","e9"
4030.1417476019,"p7","e9"
4021.23802739903,"p7","e9"
4170.75541116518,"p7","e9"
4015.4948391633,"p7","e9"
